hys_db,ttt_ms,count,ratio
5.0,650.0,222079,0.3080152565880721
4.5,300.0,133580,0.18527045769764217
1.5,650.0,128685,0.17848127600554786
5.0,150.0,120818,0.16757004160887656
2.5,300.0,100512,0.13940638002773925
3.5,100.0,8557,0.011868238557558947
4.5,650.0,5197,0.007208044382801665
2.5,650.0,1572,0.0021803051317614425
