Profile,Policy,Mobility success,HO attempt success,Outage ratio,SINR p5 (dB),HO/km,Ping-pong,Overlap interruption
distance_2km,"Fixed A3 (Hys=3, TTT=150)",0.8854365079365077,0.9055122655122656,0.0233333333333333,-1.7647175866786882,1.95,0.35,0.0173876592658209
distance_2km,Position-prior A3,0.8916666666666668,0.91,0.0191666666666666,-1.8529774559871195,1.3,0.15,0.0105356909385959
distance_2km,Speed-adaptive A3,0.8513980463980463,0.863064713064713,0.0272916666666666,-1.5450434740372287,2.2,0.5,0.0267668310492916
distance_2km,"Aggressive A3 (Hys=2.5, TTT=100)",0.8548901098901099,0.85989010989011,0.0286458333333333,-1.8225147574481213,2.3,0.5,0.0267668310492916
distance_2km,Rainbow-GRU + late guard,0.8141666666666666,0.95,0.02125,-2.3539986205574435,1.05,0.0,0.0012218045112781
distance_2km,Tabular Q-learning,0.7398160173160173,0.7592207792207792,0.0378125,-2.905145876894988,3.0,1.0,0.0353397937168172
distance_2km,Signal-trend guard A3,0.701184371184371,0.701184371184371,0.0386458333333333,-3.237324167031536,3.1,0.9,0.0317348241160242
distance_2km,Oracle A3 grid,0.7333333333333333,1.0,0.02375,-2.462606465551988,0.55,0.0,0.0004201680672268
distance_2km,Rainbow-GRU,0.6029166666666665,1.0,0.035625,-3.506382280819797,0.8,0.0,0.0012218045112781
distance_4km,"Fixed A3 (Hys=3, TTT=150)",0.9399999999999998,0.9589310689310688,0.0173257023933402,-1.235436778924002,1.5,0.1,0.0103427682245483
distance_4km,Position-prior A3,0.8779365079365078,0.94,0.0174817898022892,-1.6476246519131152,1.05,0.1,0.0031370881418035
distance_4km,Speed-adaptive A3,0.8276154401154402,0.8544113402936933,0.0242976066597294,-1.2370663247920008,1.925,0.3,0.0138803680734665
distance_4km,"Aggressive A3 (Hys=2.5, TTT=100)",0.8058609813389225,0.815450627803569,0.027627471383975,-1.5401073668076362,2.2,0.6,0.0187723345467362
distance_4km,Rainbow-GRU + late guard,0.826984126984127,1.0,0.0176378772112382,-2.4689336726491087,0.875,0.0,0.0053980277644251
distance_4km,Tabular Q-learning,0.772004107004107,0.7969684563802211,0.0313735691987513,-2.4751271472772274,2.525,1.2,0.0247444369289468
distance_4km,Signal-trend guard A3,0.6576322043969103,0.6595552813199872,0.032882414151925,-2.226921436539083,2.675,0.95,0.023557661283833
distance_4km,Oracle A3 grid,0.6091666666666666,1.0,0.0206035379812695,-2.6339285730932724,0.375,0.0,0.0002202643171806
distance_4km,Rainbow-GRU,0.5784523809523809,1.0,0.0264828303850156,-3.371533735394446,0.625,0.0,0.0053980277644251
speed_400,"Fixed A3 (Hys=3, TTT=150)",0.8701587301587301,0.8957142857142859,0.0251851851851851,-2.0987924700068183,1.5666666666666669,0.25,0.0246312533311964
speed_400,Position-prior A3,0.8510714285714285,0.9085714285714286,0.0214814814814814,-2.259181124870214,0.9333333333333332,0.15,0.0113989344771699
speed_400,Speed-adaptive A3,0.7784271284271284,0.7784271284271284,0.0362962962962963,-2.9745325931092275,2.2,0.55,0.0347930281113973
speed_400,"Aggressive A3 (Hys=2.5, TTT=100)",0.8369047619047618,0.853809523809524,0.0303703703703703,-2.1884167315079117,1.8666666666666665,0.5,0.0341832720138363
speed_400,Rainbow-GRU + late guard,0.7936309523809524,0.98,0.0292592592592592,-3.4215585909629573,0.8666666666666665,0.0,0.0015092249088618
speed_400,Tabular Q-learning,0.7982611832611831,0.8173881673881673,0.0313888888888889,-2.3521065897371938,1.9666666666666663,0.65,0.0362141986135755
speed_400,Signal-trend guard A3,0.6930014430014431,0.6930014430014431,0.0360185185185185,-3.315994584203069,2.2333333333333334,0.55,0.0279256325239962
speed_400,Oracle A3 grid,0.785,1.0,0.0150925925925925,-2.0367992260671235,0.3666666666666666,0.0,0.0010221109720483
speed_400,Rainbow-GRU,0.4114285714285713,0.9833333333333334,0.0397222222222222,-4.782230543440622,0.3999999999999999,0.0,0.0
stress_radio_holdout,"Fixed A3 (Hys=3, TTT=150)",0.5180438221199091,0.631366803131509,0.1435506241331481,-10.857430344307527,2.8,0.25,0.0035653320866105
stress_radio_holdout,Position-prior A3,0.2978490556048101,0.5359432941785883,0.1646324549237167,-11.99319276196996,2.8666666666666667,0.4,0.0038343825399646
stress_radio_holdout,Speed-adaptive A3,0.4610509708974253,0.5201248445397053,0.1436893203883492,-12.723458714257998,5.4,0.75,0.0149809675920714
stress_radio_holdout,"Aggressive A3 (Hys=2.5, TTT=100)",0.4024419636751377,0.4604552959491713,0.1556171983356446,-13.710610478468956,6.2,0.9,0.0192905237274394
stress_radio_holdout,Rainbow-GRU + late guard,0.4175685425685426,0.8069841269841269,0.1582524271844656,-11.430766813649784,1.6333333333333335,0.0,0.0002057613168724
stress_radio_holdout,Tabular Q-learning,0.4812222342930547,0.5831922978981802,0.1467406380027736,-11.571703864867802,3.8333333333333335,0.65,0.0110158922295189
stress_radio_holdout,Signal-trend guard A3,0.3105701458979675,0.3147713828528996,0.2074202496532589,-19.64226647745628,18.73333333333333,5.7,0.0923048554617115
stress_radio_holdout,Oracle A3 grid,0.219781746031746,0.8344444444444445,0.1738557558945904,-11.872822750079855,0.7666666666666667,0.0,0.000210970464135
stress_radio_holdout,Rainbow-GRU,0.1421248196248196,0.85,0.2004854368932036,-13.717226343114286,0.4333333333333333,0.0,0.0
