Policy,Mobility success,HO attempt success,Outage ratio,SINR p5 (dB),HO/km,Ping-pong,Overlap interruption,Overlap SINR (dB)
"Fixed A3 (Hys=3, TTT=150)",0.8034097650537868,0.8478811058222823,0.0523487112612517,-3.9890942949792594,1.9541666666666668,0.2375,0.013981753227044,5.176129789328167
Position-prior A3,0.7296309146948532,0.8236286806875042,0.0556905982185385,-4.438243998685103,1.5375,0.2,0.0072265240243835,5.447468314887553
Speed-adaptive A3,0.7296228964595101,0.75400700658131,0.0578937225027604,-4.620025276549114,2.93125,0.525,0.0226052987065567,5.074604479456175
"Aggressive A3 (Hys=2.5, TTT=100)",0.7250244542022329,0.7474013893630935,0.0605652183558308,-4.815412333558156,3.1416666666666666,0.625,0.0247532403343258,4.813358860084442
Rainbow-GRU + late guard,0.7130875721500722,0.9342460317460316,0.0565998909137408,-4.918814424454824,1.10625,0.0,0.0020837046253593,5.194717914730889
Tabular Q-learning,0.6978258854685906,0.739192425221837,0.0618288990226034,-4.826020869694303,2.83125,0.875,0.0268285803722146,4.702419326444296
Signal-trend guard A3,0.5905970411201731,0.5921281195896753,0.0787417539142589,-7.105626666307492,6.685416666666666,2.025,0.0438807433463912,4.038578059991898
Oracle A3 grid,0.5868204365079365,0.9586111111111112,0.0583254716171131,-4.75153925369806,0.5145833333333333,0.0,0.0004683784551477,6.402629722290614
Rainbow-GRU,0.4337306096681096,0.9583333333333334,0.0755788723751103,-6.344343225692287,0.5645833333333333,0.0,0.0016549580689258,5.475079483451962
